Time,Day,Age_band_of_driver,Sex_of_driver,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
Afternoon,Saturday,18-30,Male,Owner,1-2yr,Public (13 - 45 seats),Owner,Urban,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,1,Turning,na,na,na,,Normal,Not a Pedestrian,Changing lane to the left,Serious Injury
Afternoon,Saturday,31-50,Male,Employee,No Licence,Automobile,Owner,Urban,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Animal Collision,2,1,Moving forward,Male,18-30,3,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Serious Injury
Evening,Thursday,18-30,Male,Employee,1-2yr,Public (> 45 seats),Owner,Urban,Double carriageway (median),Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,2,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
Evening,Thursday,31-50,Male,Employee,5-10yr,Lorry (41 - 100 Quintal),Owner,Urban,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,2,Stopping,na,na,na,Other,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
Evening,Thursday,31-50,Male,Employee,Above 10yr,Automobile,Owner,Urban,Undivided Two way,Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,2,Moving forward,Female,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Serious Injury
Late Night,Monday,18-30,Female,Employee,Above 10yr,Lorry (11 - 40 Quintal),Owner,Urban,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Animal Collision,2,3,Moving forward,na,na,na,,,Not a Pedestrian,No distancing,Serious Injury
Late Night,Monday,18-30,Male,Owner,5-10yr,Public (13 - 45 seats),Owner,Urban,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Animal Collision,2,3,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
Late Night,Monday,18-30,Male,Employee,2-5yr,Public (13 - 45 seats),Owner,Urban,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Animal Collision,2,3,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury
Late Night,Monday,18-30,Male,Employee,2-5yr,Automobile,Owner,Urban,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Animal Collision,2,3,Moving backward,na,na,na,Unemployed,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
Morning,Tuesday,18-30,Male,Employee,Below 1yr,Long lorry,Owner,Urban,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,1,Moving forward,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Moving Backward,Serious Injury
Morning,Tuesday,Under 18,Male,Employee,2-5yr,Lorry (41 - 100 Quintal),Owner,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
Afternoon,Thursday,18-30,Male,Employee,2-5yr,Lorry (11 - 40 Quintal),Owner,Public,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Animal Collision,1,1,Moving backward,Male,18-30,3,Driver,Normal,Not a Pedestrian,Overtaking,Serious Injury
Afternoon,Thursday,18-30,Male,Employee,5-10yr,Lorry (41 - 100 Quintal),Owner,Public,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Other,2,1,Exiting,Female,31-50,3,Driver,Normal,Not a Pedestrian,Overloading,Serious Injury
Afternoon,Thursday,31-50,Male,Employee,Above 10yr,Public (12 seats),Owner,Urban,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,1,Moving backward,Male,18-30,3,Employee,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury
Evening,Wednesday,18-30,Male,Unknown,5-10yr,Automobile,Owner,Urban,other,,Crossing,Asphalt roads with some distress,Dry,Daylight,Normal,Animal Collision,2,3,Turning,na,na,na,Driver,Normal,Not a Pedestrian,Improper parking,Slight Injury
Evening,Wednesday,18-30,Male,Employee,2-5yr,Taxi,Owner,Urban,other,Tangent road with rolling terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,3,Moving forward,Female,31-50,3,Self-employed,Normal,Not a Pedestrian,Other,Slight Injury
Evening,Wednesday,18-30,Unknown,Employee,5-10yr,Automobile,Owner,Urban,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,3,Moving forward,Male,Under 18,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Slight Injury
Afternoon,Friday,18-30,Male,Employee,2-5yr,Automobile,Owner,Urban,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Animal Collision,1,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
Afternoon,Tuesday,Over 51,Unknown,Unknown,5-10yr,Automobile,Owner,Unknown,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,31-50,3,,,Not a Pedestrian,No priority to pedestrian,Slight Injury
Afternoon,Tuesday,18-30,Male,Employee,1-2yr,Lorry (41 - 100 Quintal),Owner,Urban,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,1,Moving forward,Male,18-30,2,Driver,Normal,Not a Pedestrian,Overspeed,Slight Injury
Afternoon,Monday,18-30,Male,Employee,2-5yr,Automobile,Owner,Urban,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,1,1,Moving forward,na,na,na,,,Not a Pedestrian,Changing lane to the left,Slight Injury
Evening,Thursday,18-30,Male,Employee,Above 10yr,Automobile,Governmental,Urban,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,1,1,Moving backward,Male,18-30,3,Driver,,Not a Pedestrian,No priority to vehicle,Slight Injury
Afternoon,Thursday,18-30,Male,Employee,Below 1yr,Lorry (41 - 100 Quintal),Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,1,Moving backward,Female,18-30,3,,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
Afternoon,Thursday,31-50,Unknown,Employee,2-5yr,Automobile,Governmental,Urban,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,1,Turning,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
Afternoon,Saturday,Over 51,Male,Employee,Below 1yr,Automobile,Owner,Rural,Undivided Two way,Gentle horizontal curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Animal Collision,2,1,Moving forward,Female,18-30,3,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
Afternoon,Saturday,18-30,Male,Employee,5-10yr,Automobile,Owner,Rural,Undivided Two way,Gentle horizontal curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,1,Moving forward,Male,Under 18,3,Driver,Normal,Unknown or other,No distancing,Slight Injury
Late Night,Friday,18-30,Male,Employee,1-2yr,Taxi,Owner,Urban,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,2,2,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
Late Night,Friday,Over 51,Male,Employee,Below 1yr,Automobile,Owner,Urban,Undivided Two way,Gentle horizontal curve,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Animal Collision,2,2,Moving forward,Female,18-30,2,Driver,Normal,Not a Pedestrian,Other,Slight Injury
Late Night,Friday,Over 51,Male,Unknown,5-10yr,Automobile,Owner,Urban,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Animal Collision,2,2,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
Evening,Sunday,Over 51,Male,Employee,Below 1yr,Automobile,Owner,Rural,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,2,1,Moving forward,Female,18-30,3,Employee,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
Evening,Sunday,31-50,Male,Employee,Below 1yr,Pick up upto 10 Quintal,Owner,Urban,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
Late Night,Sunday,31-50,Male,Unknown,5-10yr,Automobile,Owner,Public,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving forward,Female,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
Late Night,Sunday,18-30,Male,Employee,2-5yr,Automobile,Owner,Urban,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Pedestrian Collision,2,2,Moving forward,Male,18-30,3,,,Not a Pedestrian,No priority to vehicle,Slight Injury
Morning,Wednesday,18-30,Male,Employee,Above 10yr,Public (12 seats),Owner,Urban,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,Under 18,3,Self-employed,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury
Morning,Wednesday,18-30,Male,Employee,Above 10yr,Public (13 - 45 seats),Governmental,Urban,Two-way (divided with broken lines road marking),Escarpments,Y Shape,Gravel roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,Male,Under 18,3,,,Not a Pedestrian,Changing lane to the right,Slight Injury
Afternoon,Friday,31-50,Male,Employee,5-10yr,Lorry (11 - 40 Quintal),Owner,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,na,na,na,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury
Morning,Friday,31-50,Male,Employee,1-2yr,Stationwagen,Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,,,Not a Pedestrian,Driving at high speed,Slight Injury
Morning,Friday,31-50,Male,Employee,Below 1yr,Ridden horse,Owner,Urban,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Female,18-30,3,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
Evening,Monday,18-30,Male,Employee,Below 1yr,Stationwagen,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,1,Moving forward,na,na,na,,,Not a Pedestrian,Changing lane to the right,Slight Injury
Evening,Monday,18-30,Male,Employee,2-5yr,Automobile,Owner,Other,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,18-30,2,,,Not a Pedestrian,Changing lane to the left,Slight Injury
Late Night,Tuesday,18-30,Male,Owner,1-2yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Female,Over 51,3,Self-employed,Normal,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
Late Night,Tuesday,31-50,Male,Employee,5-10yr,Other,Governmental,Other,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,Employee,Normal,Not a Pedestrian,Other,Slight Injury
Morning,Saturday,Over 51,Male,Employee,2-5yr,Taxi,Owner,Other,Double carriageway (median),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,2,3,Moving forward,Male,31-50,3,Other,Normal,Not a Pedestrian,Other,Slight Injury
Morning,Saturday,31-50,Male,Owner,5-10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,3,Moving forward,Male,31-50,3,Employee,Normal,Not a Pedestrian,No distancing,Slight Injury
Morning,Saturday,31-50,Male,Employee,Above 10yr,Stationwagen,Owner,Public,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,3,Moving forward,na,na,na,,,Not a Pedestrian,No priority to vehicle,Slight Injury
Morning,Saturday,18-30,Unknown,Employee,5-10yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,3,Moving forward,Female,18-30,3,Employee,Normal,Not a Pedestrian,Overtaking,Slight Injury
Afternoon,Thursday,18-30,Male,Employee,5-10yr,Public (12 seats),Organization,Urban,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,1,Moving forward,Male,31-50,3,,,Not a Pedestrian,No priority to pedestrian,Slight Injury
Afternoon,Thursday,31-50,Male,Employee,5-10yr,Automobile,Owner,Urban,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,Employee,Normal,Not a Pedestrian,No distancing,Slight Injury
Afternoon,Tuesday,18-30,Unknown,Employee,Above 10yr,Automobile,Governmental,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle Collision,2,1,Moving forward,na,na,na,Employee,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
Afternoon,Tuesday,Over 51,Male,Employee,1-2yr,Lorry (41 - 100 Quintal),Owner,Urban,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Gravel roads,Wet or damp,Daylight,Raining,Vehicle Collision,2,1,Moving forward,Male,18-30,3,Employee,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
Afternoon,Friday,18-30,Male,Employee,2-5yr,Automobile,Owner,Urban,Unknown,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
Afternoon,Friday,31-50,Male,Employee,1-2yr,Public (> 45 seats),Owner,Urban,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury
Evening,Sunday,31-50,Male,Employee,5-10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,Male,Under 18,3,Student,Normal,Not a Pedestrian,Other,Slight Injury
Evening,Sunday,31-50,Male,Employee,5-10yr,Public (12 seats),Organization,Urban,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Driving to the left,Slight Injury
Evening,Monday,Unknown,Female,Employee,5-10yr,Public (12 seats),Owner,Urban,One way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Female,Over 51,3,Self-employed,Normal,Not a Pedestrian,Driving at high speed,Slight Injury
Evening,Monday,31-50,Male,Employee,Above 10yr,Automobile,Owner,Public,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,Female,31-50,3,,,Not a Pedestrian,Unknown,Slight Injury
Afternoon,Thursday,31-50,Unknown,Employee,2-5yr,Automobile,Organization,Urban,Undivided Two way,Tangent road with mountainous terrain and,O Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,Female,31-50,3,,,Not a Pedestrian,Changing lane to the right,Slight Injury
Afternoon,Thursday,18-30,Male,Owner,Above 10yr,Automobile,Owner,Urban,other,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Unknown,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
Afternoon,Wednesday,18-30,Male,Employee,2-5yr,Lorry (41 - 100 Quintal),Owner,Other,Two-way (divided with broken lines road marking),Escarpments,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Other,Slight Injury
Afternoon,Wednesday,31-50,Male,Other,5-10yr,Public (12 seats),Owner,Urban,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,18-30,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
Evening,Monday,18-30,Male,Employee,5-10yr,Lorry (11 - 40 Quintal),Owner,Urban,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving backward,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
Evening,Monday,31-50,Male,Unknown,5-10yr,Automobile,Owner,Other,Double carriageway (median),Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,2,1,Moving forward,na,na,na,,,Not a Pedestrian,No priority to pedestrian,Slight Injury
Morning,Thursday,31-50,Male,Employee,5-10yr,Automobile,Owner,Urban,Undivided Two way,Tangent road with mild grade and flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle Collision,1,4,Moving forward,Male,18-30,3,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury
Morning,Thursday,31-50,Male,Employee,Above 10yr,Automobile,Owner,Urban,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,4,Moving forward,Male,Over 51,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
Morning,Thursday,31-50,Male,Employee,Below 1yr,Bajaj,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,4,Moving forward,na,na,na,,,Not a Pedestrian,No priority to vehicle,Slight Injury
Morning,Thursday,31-50,Male,Employee,5-10yr,Public (12 seats),Owner,Urban,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,4,Moving forward,Female,31-50,3,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
Afternoon,Tuesday,Over 51,Male,Employee,1-2yr,Lorry (11 - 40 Quintal),Owner,Urban,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Turning,Male,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury
Afternoon,Wednesday,Over 51,Unknown,Unknown,5-10yr,Automobile,Owner,Urban,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,na,na,na,,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
Late Night,Sunday,31-50,Male,Employee,Above 10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,2,1,Moving forward,Female,18-30,3,Self-employed,,Not a Pedestrian,Changing lane to the right,Slight Injury
Late Night,Sunday,Under 18,Male,Owner,2-5yr,Automobile,Owner,Public,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
Evening,Wednesday,31-50,Male,Employee,1-2yr,Lorry (11 - 40 Quintal),Owner,Urban,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Pedestrian Collision,2,1,Moving forward,Female,31-50,3,Other,Normal,Not a Pedestrian,Changing lane to the left,Serious Injury
Evening,Wednesday,31-50,Male,Employee,1-2yr,Lorry (41 - 100 Quintal),Owner,Urban,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Stationary Object Collision,2,1,Moving forward,Male,18-30,2,Driver,,Not a Pedestrian,Overturning,Serious Injury
Afternoon,Sunday,Over 51,Male,Owner,2-5yr,Pick up upto 10 Quintal,Owner,Public,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,1,2,Moving forward,na,na,na,,,Not a Pedestrian,Driving carelessly,Slight Injury
Afternoon,Sunday,Over 51,Male,Unknown,5-10yr,Lorry (11 - 40 Quintal),Owner,Urban,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,2,Turning,Female,Under 18,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
Late Night,Wednesday,Over 51,Unknown,Owner,2-5yr,Stationwagen,Owner,Urban,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Self-accident,2,3,Moving forward,Female,18-30,3,Driver,,Not a Pedestrian,Driving carelessly,Slight Injury
Late Night,Wednesday,Over 51,Male,Employee,1-2yr,Other,Owner,Urban,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,3,Moving forward,na,na,na,,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
Late Night,Wednesday,31-50,Male,Owner,5-10yr,Other,Owner,Urban,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,3,Moving backward,na,na,na,,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
Morning,Monday,18-30,Unknown,Employee,Below 1yr,Lorry (11 - 40 Quintal),Owner,Urban,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Female,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury
Morning,Monday,18-30,Male,Employee,2-5yr,Automobile,Owner,Urban,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Serious Injury
Afternoon,Sunday,31-50,Male,Employee,5-10yr,Automobile,Owner,Urban,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Moving Backward,Fatal injury
Afternoon,Sunday,31-50,Male,Employee,Above 10yr,Lorry (41 - 100 Quintal),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Moving Backward,Fatal injury
